REGION_ID,REGION_NAME,CITY_ID,CITY_NAME,CLUSTER_ID,CLUSTER_NAME,RECORD_DATE,FACILITY_SERIAL,FACILITY_NAME_EN,FACILITY_NAME_AR,FACILITY_NAME_ABBR,SOURCE_SECTION_NO,SECTION_CODE,SOURCE_SECTION_NAME_EN,SOURCE_SECTION_NAME_AR,MAPPED_SECTION_NO,MAPPED_SECTION_NAME_CODE,MAPPED_SECTION_NAME_EN,MAPPED_SECTION_NAME_AR,MAPPED_SECTION_GENDER_CODE,MAPPED_SECTION_GENDER_EN,MAPPED_SECTION_GENDER_AR,MAPPED_SECTION_CATEGORY_CODE,MAPPED_SECTION_CATEGORY_EN,MAPPED_SECTION_CATEGORY_AR,MAPPED_SECTION_CARE_TYPE_CODE,MAPPED_SECTION_CARE_TYPE_EN,MAPPED_SECTION_CARE_TYPE_AR,MAPPED_SECTION_AGE_CODE,MAPPED_SECTION_AGE_EN,MAPPED_SECTION_AGE_AR,ROOM_NO,ROOM_CODE,SOURCE_ISOLATION_TYPE_CODE,SOURCE_ISOLATION_TYPE_EN,SOURCE_ISOLATION_TYPE_AR,MAPPED_ISOLATION_TYPE_CODE,MAPPED_ISOLATION_TYPE_EN,MAPPED_ISOLATION_TYPE_AR,BED_NO,BED_CODE,SOURCE_BED_STATUS,SOURCE_BED_STATUS_EN,SOURCE_BED_STATUS_AR,MAPPED_BED_STATUS,MAPPED_BED_STATUS_EN,MAPPED_BED_STATUS_AR,SECTOR_ID,SECTOR_NAME
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/11/2024 17:36:56,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,12,12,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/05/2024 22:37:55,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,29,29,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/02/2024 17:52:12,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,20,20,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/08/2024 19:40:11,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,23,23,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/13/2024 01:36:07,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,25,25,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/14/2024 05:36:48,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,22,22,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/09/2024 01:19:11,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,13,13,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/07/2024 07:16:13,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,14,14,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/13/2024 05:13:21,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,15,15,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/08/2024 15:28:53,1,Alnoor,النور,NSH,6037,6037,Medical ICU,عناية مركزة باطنة,22,66,ICU,ICU,30,All,All,31,Medical,Medical,36,Intensive Care,Intensive Care,35,All,All,16,16,103607,Negative,Negative,50,Negative,Negative,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/13/2024 23:50:29,1,Alnoor,النور,NSH,5588,5588,Male Maxillo-Facial Surgery,جراحة وجه وفكين -رجال,11,67,Maxillo-Facial Surgery,Maxillo-Facial Surgery,28,Male,Male,32,Surgical,Surgical,37,Normal,Normal,35,All,All,306,306,,,,,,,3,3,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/14/2024 13:00:40,1,Alnoor,النور,NSH,5588,5588,Male Maxillo-Facial Surgery,جراحة وجه وفكين -رجال,11,67,Maxillo-Facial Surgery,Maxillo-Facial Surgery,28,Male,Male,32,Surgical,Surgical,37,Normal,Normal,35,All,All,306,306,,,,,,,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/13/2024 18:12:35,1,Alnoor,النور,NSH,5588,5588,Male Maxillo-Facial Surgery,جراحة وجه وفكين -رجال,11,67,Maxillo-Facial Surgery,Maxillo-Facial Surgery,28,Male,Male,32,Surgical,Surgical,37,Normal,Normal,35,All,All,306,306,,,,,,,2,2,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/15/2024 00:29:17,1,Alnoor,النور,NSH,5588,5588,Male Maxillo-Facial Surgery,جراحة وجه وفكين -رجال,11,67,Maxillo-Facial Surgery,Maxillo-Facial Surgery,28,Male,Male,32,Surgical,Surgical,37,Normal,Normal,35,All,All,306,306,,,,,,,4,4,1,Vacant,فارغة,44,Vacant,Vacant,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/10/2024 03:55:10,1,Alnoor,النور,NSH,305,305,Male Ortho,عظام رجال,13,61,Ortho,Ortho,28,Male,Male,31,Medical,Medical,37,Normal,Normal,35,All,All,348,348,,,,,,,1,1,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,09/12/2024 09:09:37,1,Alnoor,النور,NSH,305,305,Male Ortho,عظام رجال,13,61,Ortho,Ortho,28,Male,Male,31,Medical,Medical,37,Normal,Normal,35,All,All,348,348,,,,,,,2,2,4,Manpower Shortage,نقص قوى عاملة,49,Closed,Closed,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/11/2024 03:02:00,1,Alnoor,النور,NSH,305,305,Male Ortho,عظام رجال,13,61,Ortho,Ortho,28,Male,Male,31,Medical,Medical,37,Normal,Normal,35,All,All,350,350,,,,,,,5,5,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
2,Makkah,2,Makkah,2,Makkah Health Cluster,10/08/2024 23:59:42,1,Alnoor,النور,NSH,312,312,Male Neurosurgery,مخ واعصاب رجال,24,60,Neurosurgery,Neurosurgery,28,Male,Male,32,Surgical,Surgical,37,Normal,Normal,35,All,All,320,320,,,,,,,3,3,2,Occupied,مشغولة,45,Occupied,Occupied,2,Western Sector
